Tempo (s),Uso do CPU (%)
0,5.3
1,6.8
2,5.6
3,4.4
4,4.9
5,5.4
6,4.5
7,5.0
8,3.6
9,5.1
10,4.8
11,4.4
12,4.4
13,4.6
14,3.2
15,4.8
16,4.8
17,5.2
18,4.5
19,5.0
20,4.9
21,4.9
22,4.6
23,4.9
24,4.8
25,5.0
26,4.6
27,4.6
28,5.2
29,5.1
30,4.6
31,5.6
32,4.8
33,4.7
34,6.2
35,5.2
36,4.8
37,5.1
38,4.9
39,4.5
40,4.5
41,5.4
42,4.6
43,4.5
44,4.6
45,4.9
46,5.0
47,5.4
48,5.2
49,5.1
50,4.6
51,4.9
52,4.6
53,4.3
54,3.5
55,4.4
56,4.3
57,6.5
58,5.5
59,4.7
60,3.5
